ReadGroup	Length_estimate
[NIC1192.bam]	181.222
[QG3811.bam]	119.76
[NIC350.bam]	221.243
[NIC324.bam]	255.125
[QG3797.bam]	121.31
[NIC989.bam]	142.089
[NIC1862.bam]	132.951
[NIC1254.bam]	154.139
[NIC1169.bam]	154.16
[ECA805.bam]	71.5638
[NIC1338.bam]	161.053
[NIC1475.bam]	197.98
[NIC1150.bam]	152.855
[ECA790.bam]	182.217
[NIC312.bam]	210.166
[NIC1155.bam]	143.891
[QG3852.bam]	181.744
[NIC540.bam]	145.021
[NIC894.bam]	107.601
[NIC468.bam]	184.537
[NIC311.bam]	185.347
[NIC94.bam]	229.029
[NIC450.bam]	223.195
[QG3024.bam]	139.916
[QG3785.bam]	184.012
[QG836.bam]	143.116
[NIC359.bam]	234.67
[NIC1149.bam]	158.625
[NIC943.bam]	158.915
[NIC1911.bam]	137.444
[NIC1152.bam]	117.996
[NIC956.bam]	153.789
[NIC408.bam]	180.901
[QG921.bam]	175.005
[NIC1316.bam]	136.156
[QG981.bam]	146.764
[NIC1173.bam]	123.237
[QG2727.bam]	171.148
[JU3170.bam]	141.419
[NIC321.bam]	212.438
[NIC51.bam]	165.172
[NIC105.bam]	186.868
[NIC1420.bam]	181.462
[QG1004.bam]	221.569
[NIC1136.bam]	151.773
[NIC375.bam]	176.422
[NIC904.bam]	195.905
[NIC203.bam]	241.455
[NIC478.bam]	211.684
[QG3880.bam]	134.429
[NIC1433.bam]	172.158
[NIC1877.bam]	183.305
[NIC1157.bam]	171.261
[NIC420.bam]	158.51
[NIC1650.bam]	145.752
[NIC1587.bam]	130.308
[NIC927.bam]	153.267
[NIC1410.bam]	135.722
[ECA1403.bam]	148.893
[NIC129.bam]	199.981
[JU1821.bam]	104.197
[ECA806.bam]	146.196
[NIC425.bam]	199.152
[QG838.bam]	139.219
[NIC1016.bam]	163.042
[NIC1151.bam]	132.59
[JU1835.bam]	181.219
[NIC1531.bam]	154.302
[NIC1112.bam]	88.5029
[QG2749.bam]	230.122
[NIC962.bam]	129.617
[QG3036.bam]	137.582
[NIC354.bam]	213.831
[NIC570.bam]	200.537
[NIC761.bam]	159.676
[NIC55.bam]	124.856
[QG3859.bam]	175.606
[QG3807.bam]	116.38
[NIC1389.bam]	179.737
[QG3855.bam]	120.607
[NIC1162.bam]	163.683
[NIC1658.bam]	110.852
[NIC434.bam]	136.954
[NIC1167.bam]	111.325
[NIC1012.bam]	136.609
[ECA2087.bam]	118.233
[NIC1159.bam]	146.027
[NIC479.bam]	172.435
[NIC245.bam]	199.085
[NIC1005.bam]	133.505
[NIC426.bam]	170.15
[NIC280.bam]	126.748
[NIC1313.bam]	135.511
[NIC1176.bam]	131.907
[QG851.bam]	134.01
[NIC1509.bam]	115.967
[ECA1579.bam]	89.9463
[NIC1001.bam]	179.19
[NIC1004.bam]	176.67
[NIC1294.bam]	237.633
[NIC1941.bam]	168.699
[NIC1927.bam]	154.886
[NIC491.bam]	145.269
[NIC1133.bam]	152.893
[JU1636.bam]	175.352
[NIC1165.bam]	173.022
[NIC920.bam]	258.899
[QG131.bam]	120.419
[NIC489.bam]	165.891
[QG840.bam]	96.9462
[NIC365.bam]	213.912
[NIC916.bam]	148.147
[NIC932.bam]	217.364
[NIC1474.bam]	171.633
[NIC752.bam]	176.137
[JU1640.bam]	134.406
[NIC589.bam]	195.065
[NIC953.bam]	155.569
[ECA1312.bam]	94.5801
[JU1818.bam]	224.232
[JU1870.bam]	209.845
[NIC1856.bam]	179.917
[QG3849.bam]	202.903
[NIC458.bam]	188.473
[QG3843.bam]	156.382
[NIC1140.bam]	184.81
[QG3543.bam]	160.759
[NIC1544.bam]	129.343
[NIC594.bam]	198.66
[NIC903.bam]	180.444
[NIC1359.bam]	181.232
[ECA1310.bam]	77.0427
[QG3547.bam]	113.249
[NIC1555.bam]	207.153
[NIC1694.bam]	113.163
[NIC1355.bam]	156.131
[QG3803.bam]	148.613
[NIC1343.bam]	98.8234
[NIC459.bam]	195.803
[NIC1188.bam]	213.69
[QG835.bam]	156.631
[NIC1586.bam]	144.33
[NIC249.bam]	191.985
[QG3805.bam]	142.859
[QG3871.bam]	212.276
[NIC409.bam]	216.12
[NIC121.bam]	189.418
[ECA1299.bam]	148.897
[NIC1929.bam]	231.594
[QG823.bam]	116.468
[QG3850.bam]	200.328
[NIC90.bam]	158.656
[QG842.bam]	160.086
[JU2750.bam]	175.306
[QG935.bam]	157.672
[NIC983.bam]	124.276
[NIC120.bam]	137.005
[NIC1478.bam]	176.595
[QG800.bam]	125.307
[NIC91.bam]	248.634
[ECA1309.bam]	77.9666
[NIC1514.bam]	147.951
[ECA788.bam]	170.468
[QG2716.bam]	238.885
[NIC1147.bam]	144.311
[BRC20548.bam]	127.572
[NIC573.bam]	178.992
[ECA1401.bam]	192.741
[NIC1388.bam]	204.544
[JU1430.bam]	166.585
[NIC1126.bam]	145.516
[QG3521.bam]	237.284
[ECA798.bam]	125.145
[QG3835.bam]	132.821
[NIC1417.bam]	141.334
[NIC1171.bam]	145.365
[NIC339.bam]	150.994
[ECA1581.bam]	94.472
[JU1975.bam]	129.679
[NIC1657.bam]	191.256
[QG3009.bam]	144.404
[NIC1145.bam]	139.844
[NIC1447.bam]	161.896
[NIC424.bam]	190.18
[NIC1335.bam]	120.331
[NIC291.bam]	178.401
[QG3064.bam]	99.0561
[NIC1546.bam]	175.39
[ECA801.bam]	128.242
[QG3857.bam]	151.335
[NIC584.bam]	143.68
[NIC1177.bam]	117.541
[NIC581.bam]	186.023
[NIC533.bam]	148.603
[NIC1276.bam]	188.286
[NIC1038.bam]	196.471
[NIC563.bam]	199.719
[NIC1372.bam]	154.287
[QG3817.bam]	148.381
[NIC1317.bam]	160.13
[QG3793.bam]	116.387
[ECA1445.bam]	127.011
[QG3814.bam]	115.428
[NIC993.bam]	122.631
[QG2771.bam]	212.035
[ECA1306.bam]	70.0981
