strain	isotype	release	isotype_ref_strain	wgs_seq
ECA1878	ECA741	20210121	FALSE	TRUE
ECA1885	ECA1885	20210121	TRUE	TRUE
ECA1887	ECA1887	20210121	TRUE	TRUE
ECA1889	ECA1889	20210121	TRUE	TRUE
ECA189	ECA189	20170531	TRUE	TRUE
ECA1891	ECA1891	20210121	TRUE	TRUE
ECA1895	ECA2482	20210121	FALSE	TRUE
ECA1897	ECA1887	20210121	FALSE	TRUE
ECA190	ECA189	20170531	FALSE	TRUE
ECA1901	ECA1901	20210121	TRUE	TRUE
ECA1903	ECA1889	20210121	FALSE	TRUE
ECA1907	ECA2336	20210121	FALSE	TRUE
ECA1909	ECA2473	20210121	FALSE	TRUE
ECA191	ECA191	20170531	TRUE	TRUE
ECA1911	ECA2473	20210121	FALSE	TRUE
ECA1913	ECA2443	20210121	FALSE	TRUE
ECA1915	ECA2443	20210121	FALSE	TRUE
ECA1917	ECA2443	20210121	FALSE	TRUE
ECA1919	ECA1919	20210121	TRUE	TRUE
ECA192	ECA189	20170531	FALSE	TRUE
ECA1921	ECA1919	20210121	FALSE	TRUE
ECA1923	ECA1919	20210121	FALSE	TRUE
ECA1925	ECA1925	20210121	TRUE	TRUE
ECA1927	ECA1919	20210121	FALSE	TRUE
ECA1929	ECA1919	20210121	FALSE	TRUE
ECA193	ECA189	20170531	FALSE	TRUE
ECA1931	ECA1875	20210121	FALSE	TRUE
ECA1933	ECA1875	20210121	FALSE	TRUE
ECA1935	ECA1919	20210121	FALSE	TRUE
ECA1937	ECA1937	20210121	TRUE	TRUE
ECA1939	ECA1939	20210121	TRUE	TRUE
ECA1943	ECA1943	20210121	TRUE	TRUE
ECA1951	ECA1939	20210121	FALSE	TRUE
ECA1953	ECA1939	20210121	FALSE	TRUE
ECA1967	ECA1977	20210121	FALSE	TRUE
ECA1969	ECA1969	20210121	TRUE	TRUE
ECA1971	ECA1977	20210121	FALSE	TRUE
ECA1973	ECA1206	20210121	FALSE	TRUE
ECA1975	ECA1281	20210121	FALSE	TRUE
ECA1977	ECA1977	20210121	TRUE	TRUE
ECA1979	ECA1206	20210121	FALSE	TRUE
ECA1981	ECA1977	20210121	FALSE	TRUE
ECA1983	ECA1206	20210121	FALSE	TRUE
ECA1985	ECA1977	20210121	FALSE	TRUE
ECA1987	ECA1281	20210121	FALSE	TRUE
ECA1989	ECA1281	20210121	FALSE	TRUE
ECA1991	ECA1281	20210121	FALSE	TRUE
ECA1995	ECA1997	20210121	FALSE	TRUE
ECA1997	ECA1997	20210121	TRUE	TRUE
ECA2041	ECA2041	20210121	TRUE	TRUE
ECA2043	ECA2043	20210121	TRUE	TRUE
ECA2065	ECA2073	20210121	FALSE	TRUE
ECA2067	ECA2073	20210121	FALSE	TRUE
ECA2069	ECA2073	20210121	FALSE	TRUE
ECA2071	ECA2073	20210121	FALSE	TRUE
ECA2073	ECA2073	20210121	TRUE	TRUE
ECA2075	ECA2073	20210121	FALSE	TRUE
ECA2079	ECA2081	20210121	FALSE	TRUE
ECA2081	ECA2081	20210121	TRUE	TRUE
ECA2085	ECA2081	20210121	FALSE	TRUE
ECA2091	ECA2091	20210121	TRUE	TRUE
ECA2095	ECA2195	20210121	FALSE	TRUE
ECA2097	ECA2195	20210121	FALSE	TRUE
ECA2099	ECA2151	20210121	FALSE	TRUE
ECA2101	ECA2091	20210121	FALSE	TRUE
ECA2103	ECA2091	20210121	FALSE	TRUE
ECA2107	ECA2111	20210121	FALSE	TRUE
ECA2109	ECA2109	20210121	TRUE	TRUE
ECA2111	ECA2111	20210121	TRUE	TRUE
ECA2117	ECA2151	20210121	FALSE	TRUE
ECA2119	ECA2119	20210121	TRUE	TRUE
ECA2121	ECA1793	20210121	FALSE	TRUE
ECA2122	ECA2151	20210121	FALSE	TRUE
ECA2125	ECA2281	20210121	FALSE	TRUE
ECA2127	ECA2151	20210121	FALSE	TRUE
ECA2131	ECA2151	20210121	FALSE	TRUE
ECA2135	ECA2187	20210121	FALSE	TRUE
ECA2139	ECA2187	20210121	FALSE	TRUE
ECA2143	ECA2151	20210121	FALSE	TRUE
ECA2147	ECA2151	20210121	FALSE	TRUE
ECA2151	ECA2151	20210121	TRUE	TRUE
ECA2155	ECA2155	20210121	TRUE	TRUE
ECA2159	ECA2159	20210121	TRUE	TRUE
ECA2163	ECA2159	20210121	FALSE	TRUE
ECA2167	ECA2151	20210121	FALSE	TRUE
ECA2171	ECA2151	20210121	FALSE	TRUE
ECA2175	ECA2151	20210121	FALSE	TRUE
ECA2179	ECA2187	20210121	FALSE	TRUE
ECA2183	ECA2183	20210121	TRUE	TRUE
ECA2187	ECA2187	20210121	TRUE	TRUE
ECA2191	ECA2191	20210121	TRUE	TRUE
ECA2195	ECA2195	20210121	TRUE	TRUE
ECA2199	ECA2199	20210121	TRUE	TRUE
ECA2203	ECA2195	20210121	FALSE	TRUE
ECA2207	ECA2195	20210121	FALSE	TRUE
ECA2247	ECA2489	20210121	FALSE	TRUE
ECA2249	ECA2473	20210121	FALSE	TRUE
ECA2251	ECA2251	20210121	TRUE	TRUE
ECA2253	ECA2482	20210121	FALSE	TRUE
ECA2255	ECA2473	20210121	FALSE	TRUE
ECA2281	ECA2281	20210121	TRUE	TRUE
ECA2283	ECA2281	20210121	FALSE	TRUE
ECA2285	ECA2281	20210121	FALSE	TRUE
ECA2287	ECA2281	20210121	FALSE	TRUE
ECA2289	ECA2336	20210121	FALSE	TRUE
ECA2291	ECA2291	20210121	TRUE	TRUE
ECA2307	ECA741	20210121	FALSE	TRUE
ECA2309	ECA2091	20210121	FALSE	TRUE
ECA2311	ECA2091	20210121	FALSE	TRUE
ECA2313	ECA2091	20210121	FALSE	TRUE
ECA2315	ECA2091	20210121	FALSE	TRUE
ECA2319	ECA2336	20210121	FALSE	TRUE
ECA2321	ECA1757	20210121	FALSE	TRUE
ECA2322	ECA1757	20210121	FALSE	TRUE
ECA2324	ECA1853	20210121	FALSE	TRUE
ECA2326	ECA2332	20210121	FALSE	TRUE
ECA2328	ECA2332	20210121	FALSE	TRUE
ECA2330	ECA2332	20210121	FALSE	TRUE
ECA2332	ECA2332	20210121	TRUE	TRUE
ECA2334	ECA2334	20210121	TRUE	TRUE
ECA2336	ECA2336	20210121	TRUE	TRUE
ECA2338	ECA2336	20210121	FALSE	TRUE
ECA2340	ECA2334	20210121	FALSE	TRUE
ECA2342	ECA2344	20210121	FALSE	TRUE
ECA2344	ECA2344	20210121	TRUE	TRUE
ECA2348	ECA2350	20210121	FALSE	TRUE
ECA2350	ECA2350	20210121	TRUE	TRUE
ECA2352	ECA2350	20210121	FALSE	TRUE
ECA2354	ECA2360	20210121	FALSE	TRUE
ECA2356	ECA2360	20210121	FALSE	TRUE
ECA2358	ECA2360	20210121	FALSE	TRUE
ECA2360	ECA2360	20210121	TRUE	TRUE
ECA2362	ECA2360	20210121	FALSE	TRUE
ECA2365	ECA363	20210121	FALSE	TRUE
ECA2367	ECA2367	20210121	TRUE	TRUE
ECA2375	ECA2377	20210121	FALSE	TRUE
ECA2377	ECA2377	20210121	TRUE	TRUE
ECA2401	ECA2473	20210121	FALSE	TRUE
ECA2403	ECA2473	20210121	FALSE	TRUE
ECA2405	ECA2473	20210121	FALSE	TRUE
ECA2413	ECA2417	20210121	FALSE	TRUE
ECA2415	ECA2417	20210121	FALSE	TRUE
ECA2417	ECA2417	20210121	TRUE	TRUE
ECA2419	ECA2417	20210121	FALSE	TRUE
ECA2421	ECA2417	20210121	FALSE	TRUE
ECA2423	ECA2417	20210121	FALSE	TRUE
ECA2429	ECA1281	20210121	FALSE	TRUE
ECA243	CB4851	20160408	TRUE	TRUE
ECA2431	ECA1281	20210121	FALSE	TRUE
ECA2433	ECA1281	20210121	FALSE	TRUE
ECA2435	ECA1281	20210121	FALSE	TRUE
ECA2437	ECA2437	20210121	TRUE	TRUE
ECA2439	ECA1281	20210121	FALSE	TRUE
ECA2443	ECA2443	20210121	TRUE	TRUE
ECA2445	ECA2443	20210121	FALSE	TRUE
ECA245	CB4853	20160408	FALSE	TRUE
ECA2452	ECA2452	20210121	TRUE	TRUE
ECA246	CB4853	20160408	TRUE	TRUE
ECA2467	ECA2467	20210121	TRUE	TRUE
ECA2473	ECA2473	20210121	TRUE	TRUE
ECA2475	ECA2475	20210121	TRUE	TRUE
ECA2477	ECA2475	20210121	FALSE	TRUE
ECA2479	ECA2475	20210121	FALSE	TRUE
ECA248	CB4855	20160408	TRUE	TRUE
ECA2481	ECA2481	20210121	TRUE	TRUE
ECA2482	ECA2482	20210121	TRUE	TRUE
ECA2485	ECA2475	20210121	FALSE	TRUE
ECA2487	ECA2475	20210121	FALSE	TRUE
ECA2489	ECA2489	20210121	TRUE	TRUE
ECA249	CB4857	20160408	FALSE	TRUE
ECA250	CB4857	20160408	TRUE	TRUE
ECA251	CB4858	20160408	TRUE	TRUE
ECA2521	ECA2533	20210121	FALSE	TRUE
ECA2522	ECA2522	20210121	TRUE	TRUE
ECA2523	ECA2523	20210121	TRUE	TRUE
ECA2524	ECA2523	20210121	FALSE	TRUE
ECA2525	ECA2533	20210121	FALSE	TRUE
ECA2526	ECA2536	20210121	FALSE	TRUE
ECA2527	ECA2527	20210121	TRUE	TRUE
ECA2528	ECA2527	20210121	FALSE	TRUE
ECA2529	ECA2529	20210121	TRUE	TRUE
ECA253	N2	20160408	FALSE	TRUE
ECA2532	ECA2533	20210121	FALSE	TRUE
ECA2533	ECA2533	20210121	TRUE	TRUE
ECA2534	ECA2533	20210121	FALSE	TRUE
ECA2535	ECA2536	20210121	FALSE	TRUE
ECA2536	ECA2536	20210121	TRUE	TRUE
ECA2537	ECA2533	20210121	FALSE	TRUE
ECA254	N2	20160408	FALSE	TRUE
ECA2546	ECA2546	20210121	TRUE	TRUE
ECA2547	ECA2546	20210121	FALSE	TRUE
ECA2548	ECA2672	20210121	FALSE	TRUE
ECA2549	ECA2549	20210121	TRUE	TRUE
ECA2550	ECA2551	20210121	FALSE	TRUE
ECA2551	ECA2551	20210121	TRUE	TRUE
ECA2552	ECA2672	20210121	FALSE	TRUE
ECA2553	ECA2551	20210121	FALSE	TRUE
ECA2554	ECA2554	20210121	TRUE	TRUE
ECA2555	ECA2555	20210121	TRUE	TRUE
ECA2556	ECA2559	20210121	FALSE	TRUE
ECA2557	ECA2559	20210121	FALSE	TRUE
ECA2558	ECA2609	20210121	FALSE	TRUE
ECA2559	ECA2559	20210121	TRUE	TRUE
ECA2560	ECA2560	20210121	TRUE	TRUE
ECA2561	ECA2561	20210121	TRUE	TRUE
ECA2562	ECA2565	20210121	FALSE	TRUE
ECA2563	ECA2565	20210121	FALSE	TRUE
ECA2564	ECA2565	20210121	FALSE	TRUE
ECA2565	ECA2565	20210121	TRUE	TRUE
ECA2566	ECA2565	20210121	FALSE	TRUE
ECA2567	ECA2565	20210121	FALSE	TRUE
ECA2568	ECA2568	20210121	TRUE	TRUE
ECA2569	ECA2603	20210121	FALSE	TRUE
ECA2570	ECA2561	20210121	FALSE	TRUE
ECA2571	ECA2581	20210121	FALSE	TRUE
ECA2572	ECA2581	20210121	FALSE	TRUE
ECA2573	ECA2581	20210121	FALSE	TRUE
ECA2574	ECA2603	20210121	FALSE	TRUE
ECA2575	ECA2603	20210121	FALSE	TRUE
ECA2576	ECA2676	20210121	FALSE	TRUE
ECA2577	ECA2603	20210121	FALSE	TRUE
ECA2578	ECA2603	20210121	FALSE	TRUE
ECA2579	ECA2561	20210121	FALSE	TRUE
ECA2580	ECA2561	20210121	FALSE	TRUE
ECA2581	ECA2581	20210121	TRUE	TRUE
ECA2582	ECA2546	20210121	FALSE	TRUE
ECA2583	ECA2583	20210121	TRUE	TRUE
ECA2584	ECA2584	20210121	TRUE	TRUE
ECA2585	ECA2672	20210121	FALSE	TRUE
ECA2586	ECA2584	20210121	FALSE	TRUE
ECA2589	ECA2594	20210121	FALSE	TRUE
ECA259	PB306	20160408	TRUE	TRUE
ECA2590	ECA2595	20210121	FALSE	TRUE
ECA2591	ECA2594	20210121	FALSE	TRUE
ECA2592	ECA2594	20210121	FALSE	TRUE
ECA2593	ECA2595	20210121	FALSE	TRUE
ECA2594	ECA2594	20210121	TRUE	TRUE
ECA2595	ECA2595	20210121	TRUE	TRUE
ECA2596	ECA2584	20210121	FALSE	TRUE
ECA2597	ECA2584	20210121	FALSE	TRUE
ECA2598	ECA2603	20210121	FALSE	TRUE
ECA2599	ECA2601	20210121	FALSE	TRUE
ECA2600	ECA2601	20210121	FALSE	TRUE
ECA2601	ECA2601	20210121	TRUE	TRUE
ECA2602	ECA2602	20210121	TRUE	TRUE
ECA2603	ECA2603	20210121	TRUE	TRUE
ECA2605	ECA2595	20210121	FALSE	TRUE
ECA2606	ECA2594	20210121	FALSE	TRUE
ECA2607	ECA2607	20210121	TRUE	TRUE
ECA2608	ECA2672	20210121	FALSE	TRUE
ECA2609	ECA2609	20210121	TRUE	TRUE
ECA2610	ECA2609	20210121	FALSE	TRUE
ECA2611	ECA2660	20210121	FALSE	TRUE
