isotype	mean_length	celegans_rescale	rounded_val
ECA2536	250.23666666666668	16.746595388853226	17
ECA2546	143.98266666666666	9.635755997688019	10
ECA2549	184.205	12.32755632775789	12
ECA2551	167.62785714285715	11.218163736217388	11
ECA2554	170.71	11.424430068193313	11
ECA2555	166.599	11.149309501089201	11
ECA2559	240.87966666666668	16.120396618142166	16
ECA2560	176.048	11.781665190353795	12
ECA2561	160.14079999999998	10.717107203236667	11
ECA2565	180.16666666666669	12.057298834004033	12
ECA2568	171.8	11.49737616844714	11
ECA2581	243.12325	16.27054400783129	16
ECA2583	184.3	12.333914015394692	12
ECA2584	176.064	11.782735958797888	12
ECA2594	180.34300000000002	12.069099594564973	12
ECA2595	179.079	11.984508887481637	12
ECA2601	299.49933333333337	20.043402197511483	20
ECA2602	408.648	27.34796144635382	27
ECA2603	171.638125	11.486543003329169	11
ECA2607	253.961	16.995839051891757	17
ECA2609	228.63225	15.300762412621935	15
ECA2612	471.145	31.530449912008308	32
ECA2615	160.934	10.770190548852572	11
ECA2641	159.89866666666666	10.700902907449395	11
ECA2648	245.468	16.42746177716171	16
ECA2656	542.755	36.32280792960144	36
ECA2659	239.635	16.037099756262105	16
ECA2660	208.244	13.936318991979663	14
ECA2672	189.98616666666666	12.71444950505215	13
ECA2676	154.4975	10.33944048070234	10
ECA347	234.945	15.723230756087387	16
ECA348	295.74466666666666	19.792128535964352	20
ECA349	478.318	32.01048879010069	32
ECA36	377.661	25.27421758528472	25
ECA363	148.5005	9.938103083250782	10
ECA369	838.442	56.111077237631875	56
ECA372	224.632	15.03305357084178	15
ECA396	239.96175	16.058966855581314	16
ECA592	78.5206	5.254836293202389	5
ECA593	331.307	22.17206755669218	22
ECA594	128.076	8.571233702852362	9
ECA640	297.61	19.91696229040485	20
ECA701	179.56400000000002	12.016966555943204	12
ECA703	377.118	25.237878381213317	25
ECA705	166.74450000000002	11.159046801627673	11
ECA706	155.953	10.436846947600912	10
ECA710	162.126	10.849962797937492	11
ECA712	244.7602	16.380093658116156	16
ECA722	136.981	9.167183265017796	9
ECA723	175.57366666666667	11.749921367521624	12
ECA724	220.191	14.735848404578254	15
ECA730	234.545	15.696461544985064	16
ECA732	170.152	11.387087018705573	11
ECA733	183.098	12.253472536032213	12
