ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
UNKNOWN		UNKNOWN	39049159	38811612	1758690	143.689	37777860	1106692	58259	25990	18477	14446	11607	8917	6875	4892	3480	2287	1623	1270	1034	815	673	2784877	2346629	1837709	1357135	984771	619314	430189	272881	170496	109578	
UNKNOWN		UNKNOWN	24009783	23850271	1827011	155.647	23151815	725868	40709	18187	12947	9541	7517	6229	4909	3597	2820	2320	1783	1371	1207	1107	1031	1878851	1586585	1290820	988284	734168	491457	332706	211846	133405	85200	
UNKNOWN		UNKNOWN	29430583	29150445	5451491	192.758	28404550	877349	44725	19994	14952	10807	9240	7160	5751	4376	3259	2385	1861	1473	1298	1252	1273	2081262	1693969	1312128	958169	690384	438641	290572	180244	111424	67860	
UNKNOWN		UNKNOWN	36813842	36520815	2561028	383.489	35447206	1004809	62501	32195	25745	22075	19896	17293	15556	13543	11661	10393	8857	8565	7871	7892	7306	2929616	2534093	2059130	1584639	1263736	790944	559432	367502	240255	163211	
UNKNOWN		UNKNOWN	38680042	38371955	3009309	225.16	37535022	949579	48020	22470	17047	12574	10724	8383	6760	5818	4846	4539	4147	4091	4081	4113	4199	2668213	2272509	1783101	1340188	1046672	590919	430283	278129	174290	114003	
UNKNOWN		UNKNOWN	33971692	33788412	6981008	148.832	32865792	960075	48771	22237	15654	12149	9437	7088	5518	4329	2712	1767	1363	945	853	732	776	2220962	1837574	1435577	1063137	793864	473741	326804	204252	124796	76836	
UNKNOWN		UNKNOWN	30358234	30175486	5562132	170.212	29366962	850773	43563	19790	15062	11369	9260	7346	5545	4137	2893	2015	1495	1135	1031	1045	1067	2181781	1798001	1384637	1021351	738086	439393	299253	186593	115133	72004	
UNKNOWN		UNKNOWN	48789568	48021966	3625330	250.467	47093235	1334461	85681	44481	33110	26587	23156	18158	15540	12991	9829	7948	6913	5665	4925	4634	4495	3706080	3269172	2666436	2048757	1627719	1003039	719546	485579	316319	214137	
UNKNOWN		UNKNOWN	61207292	60717338	2714713	180.754	59575354	1311424	89345	54503	41835	30512	21011	15728	10283	6621	4908	4334	4187	4404	5425	8356	19062	4597356	4052433	3318443	2602912	1981778	1351884	920503	592383	371611	246552	
UNKNOWN		UNKNOWN	47079789	46901624	3601328	112.456	45714176	1184802	63369	30743	22264	15868	12399	9060	6590	4477	3201	2184	1543	1186	967	870	726	3179400	2732812	2158781	1632838	1267312	713963	526396	337382	212639	139009	
UNKNOWN		UNKNOWN	27428546	27304035	1630269	231.714	26491836	755013	45146	20382	15708	12939	11542	9640	8198	6545	5177	4030	3411	2916	2684	2495	2388	2168967	1857216	1518572	1166349	910593	571644	401347	260569	170785	115980	
UNKNOWN		UNKNOWN	28748825	28471015	812761	122.781	27991021	641457	38844	21063	15292	11310	8298	5240	3003	1502	785	482	527	709	1014	2035	6243	1967491	1684566	1359726	1040617	752295	516632	332665	210666	129350	84092	
UNKNOWN		UNKNOWN	51164364	50929399	8280687	136.027	49581505	1331520	79346	38941	28733	21887	17650	13546	10462	7453	5121	3547	2775	2214	1866	1642	1534	3701903	3308125	2736183	2114215	1670878	996306	748920	487246	312605	211100	
UNKNOWN		UNKNOWN	36637498	36507179	7041173	251.366	35390165	1013871	54126	25266	18262	14212	12022	9166	7744	6145	4835	3818	3366	3327	3073	3457	3737	2586788	2130009	1638428	1193422	880206	520216	351339	217992	134500	85359	
UNKNOWN		UNKNOWN	57418008	57223464	12272901	161.704	55556426	1599360	85355	38896	29724	21642	18209	13718	10724	7562	5198	3338	2395	1870	1496	1496	1369	4013779	3331019	2577953	1893399	1385481	813731	562473	350260	216313	137618	
UNKNOWN		UNKNOWN	35160411	35142209	1265465	278.182	34163751	717398	62268	46448	40562	31598	22377	12872	6761	4013	3021	3462	4767	8167	21175	11771	0	1580978	2875970	2409827	1905537	1439515	536809	785758	479328	298469	178984	
UNKNOWN		UNKNOWN	62488611	61787473	2836463	293.626	60668013	1281559	114030	85566	74292	58713	42575	24924	14683	8957	6293	6958	8483	15655	46394	31516	0	2987836	5409872	4646733	3755534	2931328	1105206	1612909	984298	637183	382494	
UNKNOWN		UNKNOWN	55110620	54162795	4475129	122.641	53144919	1691104	97822	43409	30024	21300	16734	13075	10422	7723	5409	3678	2825	2031	1638	1485	1203	4385361	3694957	2993597	2300898	1727138	1191600	838812	557225	360357	230165	
UNKNOWN		UNKNOWN	23099423	22874912	914781	190.919	22471164	521595	31919	17239	12184	8915	6419	4031	2437	1189	718	565	575	779	1366	3199	15129	1686869	1453995	1181558	903883	661741	474367	300742	192786	119015	79834	
UNKNOWN		UNKNOWN	53378256	52912578	10140165	192.778	51637354	1462137	75690	35160	25587	19859	16288	12461	9415	7117	5133	4072	3095	2957	2788	3253	3480	3608855	2997127	2315949	1705804	1272679	744815	518558	330946	204297	127018	
UNKNOWN		UNKNOWN	71030422	70553608	2853537	110.205	69251771	1425775	105498	69237	54897	40439	27639	15407	8084	4228	2408	2411	2772	4665	9819	5372	0	3157034	5617749	4643563	3608534	2635466	985220	1411107	862017	532867	314404	
UNKNOWN		UNKNOWN	50311392	49917843	2980565	128.641	48606001	1481316	80472	34331	24533	18290	14230	11578	9347	6930	4483	3126	2210	1681	1389	1099	959	3706236	3143713	2538437	1941180	1453534	953073	645926	415170	262059	162546	
UNKNOWN		UNKNOWN	33974909	33743607	2160590	556.824	32624657	914385	54324	27556	22976	21388	20401	18484	17481	15912	15076	13560	13023	12803	12324	11908	11437	2652247	2273389	1839589	1411971	1131586	713076	483871	311216	199866	135992	
UNKNOWN		UNKNOWN	38062314	37821171	5668590	154.535	36694192	1179783	65962	28994	20099	14213	11384	8989	7059	5465	3981	3091	2234	1996	1711	1561	1270	2964696	2442733	1947969	1459443	1051144	697360	464171	295136	183973	113295	
UNKNOWN		UNKNOWN	44214175	43981394	8640657	234.845	42710356	1232822	65155	30902	23032	17977	15111	12312	9533	7781	5733	4571	3816	3620	3483	3662	4041	3238706	2679530	2082658	1535466	1129772	673588	456916	285281	178137	111926	
UNKNOWN		UNKNOWN	95567619	94900612	17914931	221.48	92290995	2704662	153334	73702	57271	41725	36591	27930	22716	17057	12484	9756	7020	5744	5184	5157	5947	6713684	5647224	4393038	3258082	2435921	1450193	994366	630885	390658	252683	
UNKNOWN		UNKNOWN	39000927	38869749	8911923	220.032	37684019	1098172	56236	25262	18378	14563	12127	9883	8031	6099	4559	3356	3086	2655	2586	2841	3011	2729289	2252861	1749735	1282571	943443	572224	387780	240677	149273	94187	
UNKNOWN		UNKNOWN	49480923	49080204	2167923	191.938	48143031	1078023	72727	44143	33106	24292	17150	12634	8183	5288	3860	3421	3196	3545	4315	6882	17127	3717388	3231432	2625449	2038896	1520429	1059098	700331	444864	275056	182124	
UNKNOWN		UNKNOWN	31209700	31032128	6493301	182.816	30165074	902485	42851	18317	13738	10422	8663	6702	5301	4137	2838	2162	1576	1202	1127	1022	1035	2086114	1684910	1287918	930594	663916	408365	271494	169337	105621	63253	
