strain	length_estimate
JU4085	163.409
JU4098	212.736
JU440	129.241
JU561	156.343
JU642	122.901
JU751	175.998
JU755	151.233
JU774	137.252
JU775	630.629
JU778	229.471
JU782	157.937
JU792	114.749
JU830	228.111
JU847	412.578
KR314	688.399
LKC34	364.793
MY1	264.951
MY10	175.377
MY16	447.511
MY18	170.649
MY2001	189.321
MY2004	157.741
MY2011	155.9
MY2014	180.754
MY2022	436.378
MY2024	823.699
MY2042	148.351
MY2050	191.938
MY2051	334.529
MY2054	163.815
MY2078	997.135
MY2079	115.316
MY2097	176.459
MY2099	314.085
MY2109	147.26
MY2121	148.749
MY2137	206.829
MY2138	173.802
MY2142	132.495
MY2143	182.506
MY2144	141.499
MY2147	190.63
MY2198	116.707
MY2199	194.662
MY2208	143.442
MY2212	225.107
MY2224	146.978
MY2239	153.015
MY2282	156.079
MY2288	190.919
MY2291	548.679
MY2294	144.525
MY23	562.037
MY2338	113.159
MY2339	183.563
MY2344	181.902
MY2347	188.917
MY2373	121.728
MY2406	159.56
MY2434	145.432
MY2443	141.244
MY2453	163.067
MY2479	156.618
MY2481	285.171
MY2491	110.793
MY2502	223.825
MY2530	130.751
MY2532	167.386
MY2535	171.512
MY2541	235.342
MY2573	155.296
MY2579	192.902
MY2585	431.781
MY2622	167.009
MY2623	552.157
MY2630	538.637
MY2635	204.598
MY2636	524.92
MY2640	559.168
MY2679	166.345
MY2681	662.008
MY2684	606.14
MY2685	180.796
MY2688	112.183
MY2689	179.262
MY2691	535.997
MY2692	155.777
MY2693	191.423
MY2713	209.885
MY2719	290.41
MY2741	172.862
MY508	159.931
MY518	851.369
MY524	120.31
MY538	207.33
MY559	125.177
MY561	90.3885
MY564	282.161
MY570	146.906
MY579	138.983
MY589	146.525
MY673	241.517
MY679	194.825
MY684	664.252
MY710	146.041
MY713	151.53
MY741	131.315
MY772	128.066
MY792	136.854
MY795	186.509
MY803	134.166
MY804	185.306
MY819	144.149
MY864	153.554
MY881	153.532
MY882	638.017
MY887	105.487
MY904	154.08
MY920	121.196
MY934	107.162
MY965	112.762
MY990	151.596
MY991	141.9
N2	278.182
NIC1	245.091
NIC1049	80.79
NIC1107	140.348
NIC1119	122.402
NIC1604	137.76
NIC166	273.463
NIC1779	258.153
NIC1780	252.785
NIC1781	195.25
NIC1782	186.957
NIC1783	195.895
NIC1785	211.761
NIC1786	182.041
NIC1787	163.309
NIC1788	178.689
NIC1789	210.924
NIC1790	167.629
NIC1791	136.306
NIC1792	170.666
NIC1793	184.588
NIC1794	201.786
NIC1795	176.062
NIC1796	208.176
NIC1797	219.95
NIC1798	219.956
NIC1799	168.723
NIC1800	218.777
NIC1801	182.485
NIC1802	200.339
NIC1803	349.034
NIC1804	310.288
NIC1805	303.398
NIC1806	191.925
NIC1807	193.136
NIC1808	287.934
NIC1809	169.262
NIC1810	224.187
NIC1811	177.04
NIC1812	170.979
NIC1832	264.51
NIC195	358.871
NIC196	193.882
NIC197	312.262
NIC1977	120.414
NIC198	233.617
NIC1980	138.511
NIC1985	149.124
NIC199	208.245
NIC2	200.874
NIC200	209.614
