strain	length_estimate	isotype	release	isotype_ref_strain	wgs_seq
ECA1467	145.414	ECA1493	20200815	FALSE	TRUE
ECA1493	147.224	ECA1493	20200815	TRUE	TRUE
ECA1515	169.051	ECA1493	20200815	FALSE	TRUE
ECA1689	204.998	ECA2111	20210121	FALSE	TRUE
ECA1691	343.774	ECA2111	20210121	FALSE	TRUE
ECA1693	400.873	ECA1693	20210121	TRUE	TRUE
ECA1695	335.564	ECA2111	20210121	FALSE	TRUE
ECA1709	209.688	ECA1713	20210121	FALSE	TRUE
ECA1711	223.245	ECA1713	20210121	FALSE	TRUE
ECA1713	203.541	ECA1713	20210121	TRUE	TRUE
ECA1715	266.627	ECA2151	20210121	FALSE	TRUE
ECA1717	223.561	ECA1717	20210121	TRUE	TRUE
ECA1718	196.466	ECA2151	20210121	FALSE	TRUE
ECA1721	210.171	ECA2151	20210121	FALSE	TRUE
ECA1723	423.843	ECA1851	20210121	FALSE	TRUE
ECA1725	146.093	ECA1725	20210121	TRUE	TRUE
ECA1727	244.545	ECA2159	20210121	FALSE	TRUE
ECA1729	258.1	ECA2159	20210121	FALSE	TRUE
ECA1731	74.0547	ECA1769	20210121	FALSE	TRUE
ECA1733	225.16	ECA1751	20210121	FALSE	TRUE
ECA1735	297.786	ECA1751	20210121	FALSE	TRUE
ECA1737	368.03	ECA1751	20210121	FALSE	TRUE
ECA1739	155.96	ECA2091	20210121	FALSE	TRUE
ECA1741	386.906	ECA1751	20210121	FALSE	TRUE
ECA1743	162.31	ECA1761	20210121	FALSE	TRUE
ECA1745	219.925	ECA1751	20210121	FALSE	TRUE
ECA1747	398.474	ECA1751	20210121	FALSE	TRUE
ECA1749	416.789	ECA1751	20210121	FALSE	TRUE
ECA1751	531.584	ECA1751	20210121	TRUE	TRUE
ECA1753	343	ECA1751	20210121	FALSE	TRUE
ECA1755	158.376	ECA1757	20210121	FALSE	TRUE
ECA1757	162.149	ECA1757	20210121	TRUE	TRUE
ECA1759	208.938	ECA1853	20210121	FALSE	TRUE
ECA1761	149.926	ECA1761	20210121	TRUE	TRUE
ECA1763	199.435	ECA1761	20210121	FALSE	TRUE
ECA1765	146.881	ECA1761	20210121	FALSE	TRUE
ECA1767	204.393	ECA1761	20210121	FALSE	TRUE
ECA1769	277.593	ECA1769	20210121	TRUE	TRUE
ECA1771	320.054	ECA1769	20210121	FALSE	TRUE
ECA1779	332.648	ECA1281	20210121	FALSE	TRUE
ECA1781	200.186	ECA1281	20210121	FALSE	TRUE
ECA1783	383.024	ECA1281	20210121	FALSE	TRUE
ECA1785	193.608	ECA2377	20210121	FALSE	TRUE
ECA1787	180.894	ECA2081	20210121	FALSE	TRUE
ECA1789	314.269	ECA2081	20210121	FALSE	TRUE
ECA1791	177.484	ECA2443	20210121	FALSE	TRUE
ECA1793	171.629	ECA1793	20210121	TRUE	TRUE
ECA1795	172.964	ECA1769	20210121	FALSE	TRUE
ECA1797	187.669	ECA1769	20210121	FALSE	TRUE
ECA1799	403.412	ECA1805	20210121	FALSE	TRUE
ECA1801	337.663	ECA1805	20210121	FALSE	TRUE
ECA1803	351.261	ECA1805	20210121	FALSE	TRUE
