AssayNumber	Strain	TraitName	Replicate	Value
261	JU1652	TelLength	1	19
262	JU1666	TelLength	1	10
263	JU1792	TelLength	1	9
264	JU1793	TelLength	1	10
265	JU1808	TelLength	1	11
266	JU1896	TelLength	1	15
267	JU1934	TelLength	1	8
268	JU2001	TelLength	1	8
269	JU2007	TelLength	1	5
270	JU2016	TelLength	1	14
271	JU2017	TelLength	1	6
272	JU2106	TelLength	1	7
273	JU2131	TelLength	1	8
274	JU2141	TelLength	1	7
275	JU2234	TelLength	1	17
276	JU2250	TelLength	1	4
277	JU2257	TelLength	1	7
278	JU2316	TelLength	1	5
279	JU2464	TelLength	1	10
280	JU2466	TelLength	1	9
281	JU2478	TelLength	1	16
282	JU2513	TelLength	1	8
283	JU2519	TelLength	1	8
284	JU2522	TelLength	1	10
285	JU2526	TelLength	1	6
286	JU2534	TelLength	1	24
287	JU2565	TelLength	1	15
288	JU2566	TelLength	1	10
289	JU2570	TelLength	1	6
290	JU2572	TelLength	1	15
291	JU2575	TelLength	1	5
292	JU2576	TelLength	1	32
293	JU2578	TelLength	1	6
294	JU258	TelLength	1	29
295	JU2581	TelLength	1	10
296	JU2586	TelLength	1	20
297	JU2587	TelLength	1	20
298	JU2592	TelLength	1	15
299	JU2593	TelLength	1	12
300	JU2600	TelLength	1	14
301	JU2610	TelLength	1	11
302	JU2619	TelLength	1	5
303	JU2800	TelLength	1	7
304	JU2811	TelLength	1	8
305	JU2825	TelLength	1	15
306	JU2829	TelLength	1	6
307	JU2838	TelLength	1	6
308	JU2841	TelLength	1	5
309	JU2853	TelLength	1	8
310	JU2862	TelLength	1	7
311	JU2866	TelLength	1	8
312	JU2878	TelLength	1	9
313	JU2879	TelLength	1	7
314	JU2906	TelLength	1	13
315	JU2907	TelLength	1	12
316	JU310	TelLength	1	7
317	JU311	TelLength	1	10
318	JU3125	TelLength	1	12
319	JU3127	TelLength	1	14
320	JU3128	TelLength	1	10
321	JU3132	TelLength	1	8
322	JU3134	TelLength	1	15
323	JU3135	TelLength	1	11
324	JU3137	TelLength	1	22
325	JU3140	TelLength	1	9
326	JU3141	TelLength	1	10
327	JU3144	TelLength	1	10
328	JU3166	TelLength	1	5
329	JU3167	TelLength	1	5
330	JU3169	TelLength	1	4
331	JU3224	TelLength	1	11
332	JU3225	TelLength	1	13
333	JU3226	TelLength	1	17
334	JU3228	TelLength	1	17
335	JU323	TelLength	1	13
336	JU3280	TelLength	1	10
337	JU3282	TelLength	1	8
338	JU3291	TelLength	1	10
339	JU3318	TelLength	1	15
340	JU346	TelLength	1	16
341	JU360	TelLength	1	20
342	JU367	TelLength	1	8
343	JU3795	TelLength	1	12
344	JU393	TelLength	1	11
345	JU394	TelLength	1	21
346	JU397	TelLength	1	9
347	JU4047	TelLength	1	10
348	JU406	TelLength	1	9
349	JU4073	TelLength	1	13
350	JU4082	TelLength	1	10
351	JU4098	TelLength	1	14
352	JU440	TelLength	1	9
353	JU561	TelLength	1	10
354	JU642	TelLength	1	9
355	JU751	TelLength	1	11
356	JU774	TelLength	1	9
357	JU775	TelLength	1	42
358	JU778	TelLength	1	15
359	JU782	TelLength	1	11
360	JU792	TelLength	1	8
361	JU830	TelLength	1	15
362	JU847	TelLength	1	28
363	KR314	TelLength	1	46
364	LKC34	TelLength	1	24
365	MY1	TelLength	1	18
366	MY10	TelLength	1	12
367	MY16	TelLength	1	30
368	MY18	TelLength	1	11
369	MY2147	TelLength	1	12
370	MY2212	TelLength	1	15
371	MY23	TelLength	1	21
372	MY2453	TelLength	1	12
373	MY2530	TelLength	1	9
374	MY2535	TelLength	1	14
375	MY2573	TelLength	1	9
376	MY2585	TelLength	1	33
377	MY2693	TelLength	1	15
378	MY2713	TelLength	1	12
379	MY2741	TelLength	1	11
380	MY518	TelLength	1	57
381	MY679	TelLength	1	10
382	MY772	TelLength	1	9
383	MY795	TelLength	1	16
384	MY920	TelLength	1	10
385	N2	TelLength	1	16
386	NIC1	TelLength	1	16
387	NIC1049	TelLength	1	5
388	NIC1107	TelLength	1	9
389	NIC1119	TelLength	1	8
390	NIC166	TelLength	1	18
391	NIC1779	TelLength	1	17
392	NIC1780	TelLength	1	17
393	NIC1782	TelLength	1	13
394	NIC1783	TelLength	1	13
395	NIC1785	TelLength	1	14
396	NIC1786	TelLength	1	12
397	NIC1787	TelLength	1	11
398	NIC1788	TelLength	1	12
399	NIC1789	TelLength	1	14
400	NIC1790	TelLength	1	11
401	NIC1791	TelLength	1	9
402	NIC1792	TelLength	1	11
403	NIC1794	TelLength	1	13
404	NIC1796	TelLength	1	14
405	NIC1798	TelLength	1	15
406	NIC1799	TelLength	1	11
407	NIC1801	TelLength	1	12
408	NIC1802	TelLength	1	13
409	NIC1805	TelLength	1	21
410	NIC1806	TelLength	1	13
411	NIC1808	TelLength	1	19
412	NIC1809	TelLength	1	11
413	NIC1810	TelLength	1	15
414	NIC1811	TelLength	1	12
415	NIC1812	TelLength	1	11
416	NIC1832	TelLength	1	18
417	NIC195	TelLength	1	18
418	NIC199	TelLength	1	14
419	NIC2	TelLength	1	13
420	NIC207	TelLength	1	88
421	NIC231	TelLength	1	13
422	NIC236	TelLength	1	12
423	NIC242	TelLength	1	16
424	NIC251	TelLength	1	13
425	NIC252	TelLength	1	8
426	NIC255	TelLength	1	30
427	NIC256	TelLength	1	14
428	NIC258	TelLength	1	16
429	NIC259	TelLength	1	15
430	NIC260	TelLength	1	10
431	NIC261	TelLength	1	14
432	NIC262	TelLength	1	30
433	NIC265	TelLength	1	8
434	NIC266	TelLength	1	28
435	NIC267	TelLength	1	7
436	NIC268	TelLength	1	11
437	NIC269	TelLength	1	14
438	NIC271	TelLength	1	15
439	NIC272	TelLength	1	8
440	NIC274	TelLength	1	4
441	NIC275	TelLength	1	18
442	NIC276	TelLength	1	8
443	NIC277	TelLength	1	11
444	NIC3	TelLength	1	10
445	NIC501	TelLength	1	6
446	NIC511	TelLength	1	7
447	NIC513	TelLength	1	8
448	NIC514	TelLength	1	23
449	NIC515	TelLength	1	17
450	NIC522	TelLength	1	18
451	NIC523	TelLength	1	6
452	NIC526	TelLength	1	25
453	NIC527	TelLength	1	9
454	NIC528	TelLength	1	7
455	NIC529	TelLength	1	10
456	PB303	TelLength	1	47
457	PB306	TelLength	1	20
458	PS2025	TelLength	1	11
459	PX179	TelLength	1	13
460	QG2075	TelLength	1	16
461	QG2811	TelLength	1	10
462	QG2813	TelLength	1	9
463	QG2818	TelLength	1	9
464	QG2823	TelLength	1	26
465	QG2824	TelLength	1	9
466	QG2825	TelLength	1	10
467	QG2827	TelLength	1	9
468	QG2828	TelLength	1	9
469	QG2832	TelLength	1	10
470	QG2835	TelLength	1	9
471	QG2836	TelLength	1	9
472	QG2837	TelLength	1	10
473	QG2838	TelLength	1	11
474	QG2841	TelLength	1	10
475	QG2843	TelLength	1	10
476	QG2846	TelLength	1	9
477	QG2850	TelLength	1	9
478	QG2854	TelLength	1	9
479	QG2855	TelLength	1	9
480	QG2857	TelLength	1	9
481	QG2873	TelLength	1	11
482	QG2874	TelLength	1	11
483	QG2875	TelLength	1	9
484	QG2877	TelLength	1	9
485	QG2932	TelLength	1	9
486	QG4003	TelLength	1	13
487	QG4004	TelLength	1	13
488	QG4006	TelLength	1	13
489	QG4008	TelLength	1	13
490	QG4010	TelLength	1	14
491	QG4012	TelLength	1	18
492	QG4015	TelLength	1	16
493	QG4017	TelLength	1	17
494	QG4018	TelLength	1	15
495	QG4021	TelLength	1	13
496	QG4080	TelLength	1	13
497	QG4103	TelLength	1	18
498	QG4135	TelLength	1	16
499	QG4138	TelLength	1	14
500	QG4151	TelLength	1	14
501	QG4193	TelLength	1	12
502	QG4226	TelLength	1	14
503	QG4228	TelLength	1	13
504	QG536	TelLength	1	11
505	QG556	TelLength	1	53
506	QG557	TelLength	1	45
507	QW947	TelLength	1	8
508	QX1211	TelLength	1	30
509	QX1212	TelLength	1	67
510	QX1233	TelLength	1	21
511	QX1791	TelLength	1	8
512	QX1792	TelLength	1	20
513	QX1793	TelLength	1	14
514	QX1794	TelLength	1	34
515	RC301	TelLength	1	43
516	TWN2530	TelLength	1	12
517	TWN2542	TelLength	1	12
518	WN2001	TelLength	1	19
519	WN2002	TelLength	1	11
520	WN2033	TelLength	1	13
521	WN2050	TelLength	1	9
522	WN2063	TelLength	1	10
523	WN2064	TelLength	1	7
524	WN2066	TelLength	1	11
525	WN2068	TelLength	1	11
526	WN2069	TelLength	1	10
527	WN2082	TelLength	1	10
528	WN2086	TelLength	1	9
529	XZ1513	TelLength	1	14
530	XZ1514	TelLength	1	8
531	XZ1515	TelLength	1	12
532	XZ1516	TelLength	1	5
533	XZ1672	TelLength	1	21
534	XZ1734	TelLength	1	10
535	XZ1735	TelLength	1	9
536	XZ1756	TelLength	1	10
537	XZ2018	TelLength	1	13
538	XZ2019	TelLength	1	15
539	XZ2020	TelLength	1	29
540	XZ2211	TelLength	1	11
