strain	LENGTH_ESTIMATE
[MY2719.bam]	290.41
[ECA1725.bam]	146.093
[ECA751.bam]	179.326
[ECA1246.bam]	214.422
[QG2836.bam]	134.956
[ECA1227.bam]	192.758
[JU4069.bam]	154.051
[ECA2595.bam]	151.803
[ECA927.bam]	154.362
[ECA1803.bam]	351.261
[NIC501.bam]	93.9134
[ECA594.bam]	128.076
[JU3291.bam]	144.874
[QG2810.bam]	146.115
[ECA2546.bam]	169.611
[MY2622.bam]	167.009
[ECA1268.bam]	156.234
[ECA1236.bam]	161.206
[ECA396.bam]	200.312
[QG2842.bam]	145.777
[ECA1465.bam]	145.384
[NIC1785.bam]	211.761
[ECA2247.bam]	520.646
[MY2635.bam]	204.598
[ECA768.bam]	128.973
[ECA2251.bam]	510.723
[JU4054.bam]	140.909
[WN2013.bam]	335.133
[NIC1793.bam]	184.588
[JU1808.bam]	168.519
[JU1242.bam]	137.88
[ECA1765.bam]	146.881
[ECA1213.bam]	161.74
[NIC263.bam]	244.757
[ECA718.bam]	145.153
[ECA2615.bam]	160.934
[ECA245.bam]	141.103
[MY965.bam]	112.762
[NIC273.bam]	98.9153
[CB4932.bam]	208.726
[ECA2085.bam]	385.757
[ECA1727.bam]	244.545
[JU3144.bam]	149.765
[ECA776.bam]	207.818
[QG4076.bam]	197.066
[ECA2608.bam]	237.287
[JU1580.bam]	222.717
[ECA1229.bam]	157.3
[ECA1250.bam]	183.408
[ECA1983.bam]	193.655
[ECA363.bam]	177.413
[CX11285.bam]	147.393
[ECA1781.bam]	200.186
[ECA1831.bam]	90.9147
[ECA723.bam]	169.697
[ECA2375.bam]	168.001
[QG4159.bam]	215.175
[NIC1786.bam]	182.041
[MY2097.bam]	176.459
[QG4226.bam]	211.988
[WN2062.bam]	120.606
[ECA1221.bam]	191.466
[JU2860.bam]	194.92
[ECA2131.bam]	222.41
[ECA2568.bam]	171.8
[WN2018.bam]	358.427
[QG4138.bam]	205.592
[ECA1226.bam]	199.713
[NIC272.bam]	131.442
[ECA2401.bam]	101.395
[ECA706.bam]	155.953
[ECA1921.bam]	225.397
[NIC1791.bam]	136.306
[XZ2213.bam]	161.846
[WN2068.bam]	218.93
[WN2014.bam]	251.601
[MY2138.bam]	173.802
[JU2576.bam]	471.377
[WN2093.bam]	138.28
[ECA1845.bam]	232.651
[ECA2127.bam]	192.778
[NIC255.bam]	455.131
[QG2850.bam]	131.314
[QG4194.bam]	174.612
[N2.bam]	278.182
[ECA1187.bam]	174.2
[ECA1859.bam]	154.102
[ECA1747.bam]	398.474
[ECA1271.bam]	183.973
[MY2585.bam]	431.781
[CX11276.bam]	238.98
[ECA2479.bam]	156.244
[MY2011.bam]	155.9
[JU2800.bam]	75.8444
[QG538.bam]	227.19
