ReadGroup	length_estimate
[ECA1575.bam]	45.6305
[QG1111.bam]	75.7094
[QG786.bam]	100.162
[ECA1146.bam]	47.814
[QG2848.bam]	81.9059
[QG116.bam]	69.4473
[QG4129.bam]	85.9548
[NIC1123.bam]	129.889
[QG3002.bam]	40.818
[ED3103.bam]	55.6776
[NIC1540.bam]	20.9238
[QG761.bam]	72.0091
[ECA1431.bam]	51.7994
[QG743.bam]	58.8434
[JU1377.bam]	53.8286
[QG3044.bam]	75.6597
[JU1551.bam]	61.1452
[QG2631.bam]	68.5397
[NIC317.bam]	55.7955
[JU2053.bam]	40.4037
[BRC20462.bam]	26.6752
[BRC20255.bam]	74.9541
[QX1414.bam]	33.0505
[QG128.bam]	76.5698
[ECA1163.bam]	73.2755
[BRC20498.bam]	58.5359
[QG796.bam]	62.5058
[YR88.bam]	33.9997
[JU3326.bam]	89.9469
[QG1002.bam]	86.8721
[ECA1429.bam]	90.3766
[QG3798.bam]	79.2537
[PB859.bam]	52.9117
[JU2101.bam]	85.1943
[JU1498.bam]	86.4485
[NIC161.bam]	115.251
[BRC20525.bam]	57.7156
[QG580.bam]	81.0287
[NIC805.bam]	60.7214
[NIC1221.bam]	43.0864
[NIC791.bam]	20.126
[MY702.bam]	72.7081
[BRC20526.bam]	35.5629
[JU1341.bam]	53.5589
[NIC576.bam]	64.1565
[NIC1055.bam]	35.4248
[QG550.bam]	38.6337
[JU3200.bam]	56.904
[QG792.bam]	117.473
[EG6258.bam]	60.6948
[BRC20543.bam]	78.4332
[JU1258.bam]	83.1895
[QG2922.bam]	54.5666
[JU3206.bam]	32.7306
[BRC20535.bam]	49.5501
[NIC816.bam]	59.8071
[JU1376.bam]	84.3764
[XZ1733.bam]	37.899
[QG3794.bam]	25.6919
[QG4225.bam]	54.4871
[JU1262.bam]	99.6023
[ECA182.bam]	42.9371
[JU358.bam]	100.881
[QG2615.bam]	71.1249
[QG1007.bam]	86.8385
[QX1801.bam]	38.9813
[JU1260.bam]	83.3061
[BRC20523.bam]	70.9404
[BRC20237.bam]	51.3368
[ECA1399.bam]	67.9285
[JU2580.bam]	101.647
[ECA2513.bam]	26.253
[JU2780.bam]	100.781
[JU3202.bam]	102.278
[NIC330.bam]	127.407
[QG575.bam]	59.0056
[QG585.bam]	51.9187
[NIC884.bam]	40.6613
[JU2226.bam]	92.9085
[NIC343.bam]	60.5991
[ECA1657.bam]	142.277
[QG2778.bam]	83.8478
[QG4207.bam]	39.6078
[JU1993.bam]	99.8734
[BRC20331.bam]	109.047
[QG867.bam]	76.9828
[JU1254.bam]	63.501
[MY646.bam]	115.39
[QG2739.bam]	144.285
[ECA1625.bam]	45.4818
[BRC20529.bam]	53.0922
[JU4042.bam]	14.7665
[QG579.bam]	38.9319
[QG1005.bam]	100.336
[QG998.bam]	144.008
[JU2229.bam]	49.9805
[ECA1148.bam]	51.7713
[JU379.bam]	114.492
[MY2049.bam]	53.6506
[JU3272.bam]	56.579
[JU1044.bam]	90.6446
[JU1399.bam]	201.095
[ECA1589.bam]	71.7227
[QG3878.bam]	39.316
[QG1148.bam]	132.022
[QG2649.bam]	83.609
[JU1909.bam]	34.0226
[JU1795.bam]	69.0043
[ED3091.bam]	75.9442
[ECA2613.bam]	58.2204
[QG4097.bam]	140.788
[QG4212.bam]	113.323
[JU2814.bam]	65.0869
[NIC590.bam]	167.687
[QG4068.bam]	65.0417
[ECA1437.bam]	40.1093
[NIC1206.bam]	47.6367
[JU2144.bam]	106.728
[NIC899.bam]	32.0853
[NIC1482.bam]	100.781
[NIC1205.bam]	63.7803
[NIC392.bam]	62.2632
[QG4030.bam]	37.7514
[QG2735.bam]	65.5575
[NIC914.bam]	66.272
[QG2970.bam]	84.4447
[MY2269.bam]	54.7324
[NIC1669.bam]	43.7995
[NIC368.bam]	81.8895
[MY2281.bam]	35.18
[NIC146.bam]	56.2917
[BRC20230.bam]	47.2936
[JU2872.bam]	42.5129
[NIC1274.bam]	101.105
[QG2882.bam]	98.5277
[ECA2622.bam]	42.7857
[TWN1907.bam]	68.0506
[QG2648.bam]	174.425
[JU2773.bam]	94.0301
[JU349.bam]	67.1687
[NIC1056.bam]	27.5236
[NIC1303.bam]	71.5357
[ECA1659.bam]	100.188
[ECA1655.bam]	194.096
[JU1829.bam]	57.4798
[JU796.bam]	76.0492
[NIC1218.bam]	45.7376
[NIC323.bam]	61.869
[NIC827.bam]	49.9925
[QG764.bam]	137.856
[ECA1411.bam]	111.689
[ECA1160.bam]	69.9277
[BRC20531.bam]	38.8935
[JU3420.bam]	35.3787
[JU797.bam]	44.0791
[JU516.bam]	109.796
[QG982.bam]	82.0484
[NIC340.bam]	61.7273
[NIC182.bam]	94.2999
[NIC1602.bam]	61.5286
[BRC20522.bam]	57.6669
[QG734.bam]	61.199
[QG2718.bam]	181.3
[QG3928.bam]	64.0936
[NIC149.bam]	91.7288
[NIC1061.bam]	88.378
